"Month_Year","oecd_li","abs_imports","abs_exports","GOFO...1.Month","USD..AM.","aud_usd_bid_avg","unemployment","RBA Cash Rate","Year.end.Inflation","Quarterly.Inflation","Aud_usd","Date","close","djia","pe.ratio","yield","iron","oil"
"04-2016",100.1414,19842359,19689755,0.096,1325.45,0.7099,5.379,3.75,1.3,-0.1,0.7651,2016-04-01,5252,17774,15.5,4.4,60,41
"05-2016",100.2215,20486328,20673428,0.106,1326.45,0.7139,5.389,3.75,1.3,-0.1,NA,2016-05-01,5379,17787,17,4.5,55,47
"06-2016",100.2803,22112950,20400902,0.11,1327.55,0.7162,5.399,3.75,1.3,-0.1,0.727,2016-06-01,5233,17930,16,4.6,51,49
"07-2016",100.3262,20854205,21089206,0.106,1329.15,0.7117,5.409,3.75,1,0.6,0.746,2016-07-01,5562,18432,17.3,4.3,57,45
"08-2016",100.3361,22249642,21551791,0.098,1322.25,0.7149,5.42,3.75,1,0.6,NA,2016-08-01,5433,18401,16.7,4.4,60,45
"09-2016",100.3101,22045073,21653193,0.106,1335.05,0.7092,5.431,3.75,1,0.6,0.7538,2016-09-01,5436,18308,16.5,4.4,57,45
"10-2016",100.2772,21741640,22296517,0.106,1345.75,0.7107,5.442,3.75,1.3,0.5,NA,2016-10-01,5318,18142,16,4.6,58,50
"11-2016",100.2663,22488497,25246575,0.084,1329.55,0.7116,5.454,3.75,1.3,0.5,0.7653,2016-11-01,5441,19132,16.9,4.5,72,46
"12-2016",100.275,21420533,29727750,0.066,1323.95,0.7073,5.467,3.75,1.3,0.5,0.7408,2016-12-01,5666,19774,17.7,4.3,79,52
"01-2017",100.3005,21482415,23677160,0.066,1318,0.7096,5.48,3.75,1.5,0.5,NA,2017-01-01,5621,19864,17.3,4.4,81,53
"02-2017",100.3403,19368175,23994123,0.082,1305.65,0.7076,5.493,3.75,1.5,0.5,0.7566,2017-02-01,5712,20812,18.5,4.2,89,53
"03-2017",100.3735,22618339,26886044,0.094,1311.15,0.7102,5.507,3.75,1.5,0.5,0.7656,2017-03-01,5865,20662,18.6,4.1,87,50
"04-2017",100.3995,20242041,22965565,0.094,1311.6,0.7173,5.522,3.75,2.1,0.6,NA,2017-04-01,5924,20941,19,4,70,51
"05-2017",100.3965,26323152,26172370,0.098,1306.75,0.7233,5.537,3.75,2.1,0.6,0.7486,2017-05-01,5725,21009,17.2,4.2,62,49
"06-2017",100.3652,23174367,25619416,0.1,1311.1,0.7234,5.553,3.75,2.1,0.6,0.7403,2017-06-01,5722,21352,17.3,4.2,58,45
"07-2017",100.2991,30106020,25115734,0.08,1306.6,0.725,5.569,3.75,1.9,0.4,NA,2017-07-01,5721,21964,17.4,4.2,66,47
"08-2017",100.2446,26251653,25163123,0.088,1313.35,0.7261,5.585,3.75,1.9,0.4,0.8011,2017-08-01,5715,21951,15.4,4.4,75,48
"09-2017",100.1968,25920168,25264676,0.082,1314,0.7186,5.602,3.75,1.9,0.4,0.7934,2017-09-01,5682,22405,15.4,4.4,70,50
"10-2017",100.1469,23931722,24550487,0.094,1311,0.7161,5.619,3.75,1.8,0.4,NA,2017-10-01,5909,23377,15.8,4.2,60,52
"11-2017",100.0753,25078744,24751912,0.104,1320.75,0.7187,5.637,3.75,1.8,0.4,0.7659,2017-11-01,5970,24260,15.9,4.2,63,57
"12-2017",99.9664,23794592,27174096,0.108,1322.5,0.7095,5.656,3.75,1.8,0.4,0.7564,2017-12-01,6065,24744,16.1,4.1,71,58
"01-2018",99.84639,24337082,25212698,0.094,1312.95,0.7122,5.674,3.75,1.9,0.6,NA,2018-01-01,6038,26149,15.9,4.1,76,64
"02-2018",99.73582,22725609,25164786,0.07,1308.35,0.7131,5.693,3.75,1.9,0.6,0.8044,2018-02-01,6016,25029,16.1,4.2,77,62
"03-2018",99.66441,23774419,27876607,0.056,1301,0.714,5.713,3.75,1.9,0.6,0.7731,2018-03-01,5759,24103,15.4,4.4,70,63
"04-2018",99.64052,23404810,26130090,0.054,1282.95,0.7167,5.732,3.75,1.9,0.6,NA,2018-04-01,5983,24167,16,4.2,65,66
"05-2018",99.66236,26220711,28306429,0.05,1279.75,0.719,5.752,3.75,1.9,0.6,0.754,2018-05-01,6012,24416,16,4.2,67,70
"06-2018",99.70044,25613669,29767829,0.05,1284.9,0.7162,5.772,3.75,1.9,0.6,0.7541,2018-06-01,6195,24271,16.7,4.1,65,67
"07-2018",99.71234,25178831,29319556,0.054,1284.75,0.7199,5.791,3.75,2.1,0.4,NA,2018-07-01,6280,25414,16.8,4,64,70
"08-2018",99.6832,26750715,30035258,0.05,1278.7,0.7209,5.811,3.75,2.1,0.4,0.7407,2018-08-01,6320,25965,16.9,4,68,68
"09-2018",99.62369,25025400,29503229,0.042,1285.05,0.7192,5.83,3.75,2.1,0.4,NA,2018-09-01,6208,26458,16.7,4.1,68,70
"10-2018",99.55698,28930255,30620354,0.024,1294,0.7201,5.849,3.75,1.9,0.3,NA,2018-10-01,5830,25116,15.6,4.4,71,71
"11-2018",99.51738,28666381,30536453,0.024,1290.5,0.7174,5.867,3.75,1.9,0.3,0.713,2018-11-01,5667,25538,15.4,4.5,74,57
"12-2018",99.53677,23421590,32142301,0.012,1289.35,0.7153,5.885,3.75,1.9,0.3,NA,2018-12-01,5646,23327,14.8,4.7,68,49
"01-2019",99.62044,26040845,29756106,0.002,1293.7,0.7132,5.901,3.75,1.8,0.4,NA,2019-01-01,5865,25000,15.7,4.4,74,52
"02-2019",99.75449,23352674,29175638,0.018,1292.8,0.7129,5.917,3.75,1.8,0.4,0.7241,2019-02-01,6169,25916,15.8,4.3,80,50
"03-2019",99.909,24015372,31239055,0.0375,1292.4,0.7015,5.933,3.75,1.8,0.4,0.7093,2019-03-01,6181,25929,16.1,4.2,86,58
"04-2019",100.076,24884490,31083441,0.058,1281.3,0.6934,5.947,3.75,1.3,0.1,0.7121,2019-04-01,6325,26593,16.3,4.2,93,64
"05-2019",100.2281,26733616,33965221,0.05,1283.9,0.7026,5.961,3.75,1.3,0.1,0.7054,2019-05-01,6397,24815,16.3,4,96,61
"06-2019",100.3272,23687558,35011331,0.04,1291.5,0.7063,5.973,3.75,1.3,0.1,NA,2019-06-01,6619,26600,17.2,4,104,55
"07-2019",100.3387,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6994,2019-07-01,NA,NA,NA,NA,NA,NA
