Date,Price,CVol,Change,% Change,Open,High,Low
03/23/12,4270,0,-5.77,-0.13,"4,282.70","4,309.00","4,238.40"
03/16/12,4276,0,64.17,1.52,"4,215.10","4,294.90","4,193.90"
3/09/2012,4212,0,-61.12,-1.43,"4,269.00","4,273.60","4,143.70"
3/02/2012,4273,0,-33.67,-0.78,"4,296.30","4,318.80","4,248.00"
02/24/12,4307,0,110.9,2.64,"4,213.70","4,307.50","4,209.60"
02/17/12,4196,0,-49.45,-1.16,"4,244.90","4,289.70","4,170.20"
2/10/2012,4245,0,-5.84,-0.14,"4,266.00","4,312.00","4,244.90"
2/03/2012,4251,0,-37.2,-0.87,"4,286.70","4,294.70","4,225.70"
01/27/12,4288,0,48.73,1.15,"4,236.30","4,315.60","4,218.40"
01/20/12,4240,0,43.74,1.04,"4,191.30","4,258.40","4,138.50"
01/13/12,4196,0,87.37,2.13,"4,118.10","4,203.60","4,088.70"
1/06/2012,4109,0,51.96,1.28,"4,069.30","4,202.40","4,069.10"
12/30/11,4057,0,-83.85,-2.03,"4,140.10","4,142.60","4,038.10"
12/23/11,4140,0,-18.81,-0.45,"4,147.80","4,148.20","4,050.30"
12/16/11,4159,0,-43.79,-1.04,"4,222.00","4,271.90","4,115.20"
12/09/2011,4203,0,-84.99,-1.98,"4,292.60","4,335.20","4,186.10"
12/02/2011,4288,0,303.66,7.62,"3,997.10","4,288.00","3,996.80"
11/25/11,3984,0,-192.62,-4.61,"4,174.20","4,181.40","3,973.80"
11/18/11,4177,0,-119.56,-2.78,"4,310.50","4,363.10","4,172.60"
11/11/2011,4297,0,15.4,0.36,"4,281.90","4,365.00","4,205.00"
11/04/2011,4281,0,-72.15,-1.66,"4,349.20","4,358.20","4,141.30"
10/28/11,4353,0,211.39,5.1,"4,154.50","4,417.60","4,154.50"
10/21/11,4142,0,-63.76,-1.52,"4,221.70","4,287.70","4,131.90"
10/14/11,4206,0,42.78,1.03,"4,157.60","4,256.10","4,146.90"
10/07/2011,4163,0,154.26,3.85,"3,990.60","4,182.00","3,840.20"
09/30/11,4009,0,105.44,2.7,"3,916.40","4,053.80","3,862.40"
09/23/11,3903,0,-246.23,-5.93,"4,139.50","4,141.40","3,882.20"
09/16/11,4149,0,-45.32,-1.08,"4,169.30","4,170.00","3,997.60"
9/09/2011,4195,0,-48.17,-1.14,"4,221.20","4,232.00","4,072.70"
9/02/2011,4243,0,42.87,1.02,"4,208.80","4,354.60","4,208.80"
08/26/11,4200,0,98.07,2.39,"4,099.00","4,238.60","4,075.10"
08/19/11,4102,0,-70.68,-1.69,"4,194.30","4,324.70","4,099.40"
8/12/2011,4173,0,67.23,1.64,"4,078.60","4,216.10","3,765.90"
8/05/2011,4105,0,-319.25,-7.22,"4,440.60","4,517.40","4,087.70"
07/29/11,4425,0,-178.21,-3.87,"4,595.30","4,595.40","4,421.10"
07/22/11,4603,0,129.33,2.89,"4,473.10","4,612.20","4,445.00"
07/15/11,4474,0,-181.22,-3.89,"4,641.30","4,641.50","4,454.30"
7/08/2011,4655,0,63.54,1.38,"4,603.50","4,657.40","4,582.50"
7/01/2011,4591,0,83.08,1.84,"4,499.80","4,622.00","4,453.70"
06/24/11,4508,0,23.18,0.52,"4,487.90","4,565.90","4,451.70"
06/17/11,4485,0,-77.18,-1.69,"4,549.70","4,593.30","4,465.90"
6/10/2011,4562,0,-20.95,-0.46,"4,577.30","4,589.20","4,518.10"
6/03/2011,4583,0,-100.92,-2.15,"4,684.60","4,724.80","4,578.00"
05/27/11,4684,0,-48.21,-1.02,"4,720.40","4,720.40","4,582.70"
05/20/11,4732,0,20.83,0.44,"4,691.50","4,763.90","4,641.40"
05/13/11,4711,0,-31.68,-0.67,"4,752.90","4,795.90","4,675.40"
5/06/2011,4743,0,-80.2,-1.66,"4,826.30","4,835.50","4,713.40"
04/29/11,4823,0,-90.56,-1.84,"4,919.70","4,930.60","4,794.80"
04/21/11,4914,0,61.66,1.27,"4,852.60","4,915.50","4,788.60"
04/15/11,4852,0,-88.42,-1.79,"4,943.30","4,976.40","4,852.10"
4/08/2011,4941,0,78.73,1.62,"4,868.40","4,941.60","4,868.40"
4/01/2011,4862,0,119.19,2.51,"4,733.50","4,878.80","4,721.50"
03/25/11,4743,0,116.2,2.51,"4,625.30","4,763.00","4,606.40"
03/18/11,4626,0,-18.39,-0.4,"4,633.40","4,634.80","4,477.40"
3/11/2011,4645,0,-219.44,-4.51,"4,850.70","4,852.40","4,630.70"
3/04/2011,4864,0,27.75,0.57,"4,839.60","4,864.30","4,779.40"
02/25/11,4837,0,-100.2,-2.03,"4,921.60","4,924.30","4,799.20"
02/18/11,4937,0,55.79,1.14,"4,891.10","4,944.40","4,885.10"
2/11/2011,4881,0,18.23,0.37,"4,860.10","4,931.20","4,859.50"
2/04/2011,4863,0,87.83,1.84,"4,757.90","4,870.20","4,717.60"
01/28/11,4775,0,19.24,0.4,"4,755.40","4,825.40","4,750.20"
01/21/11,4756,0,-45.83,-0.95,"4,803.70","4,839.20","4,740.50"
01/14/11,4801,0,96.44,2.05,"4,702.50","4,802.80","4,686.50"
1/07/2011,4705,0,-40.2,-0.85,"4,758.00","4,775.00","4,690.30"
12/31/10,4745,0,-32.02,-0.67,"4,768.40","4,799.90","4,745.20"
12/24/10,4777,0,14.18,0.3,"4,762.70","4,811.90","4,736.60"
12/17/10,4763,0,17.14,0.36,"4,749.60","4,784.30","4,749.60"
12/10/2010,4746,0,51.72,1.1,"4,696.30","4,750.00","4,688.00"
12/03/2010,4694,0,95.88,2.09,"4,596.00","4,717.10","4,557.00"
11/26/10,4598,0,-30.86,-0.67,"4,638.80","4,672.00","4,551.20"
11/19/10,4629,0,-63.53,-1.35,"4,692.80","4,714.20","4,612.00"
11/12/2010,4693,0,-107.91,-2.25,"4,802.80","4,810.50","4,681.60"
11/05/2010,4801,0,139.04,2.98,"4,665.70","4,815.00","4,665.70"
10/29/10,4662,0,13.37,0.29,"4,644.40","4,725.90","4,641.00"
10/22/10,4648,0,-40.73,-0.87,"4,688.80","4,688.80","4,583.00"
10/15/10,4689,0,7.54,0.16,"4,686.80","4,713.00","4,617.40"
10/08/2010,4681,0,102.17,2.23,"4,587.10","4,697.30","4,559.20"
10/01/2010,4579,0,-22.62,-0.49,"4,620.00","4,698.00","4,559.00"
09/24/10,4602,0,-37.03,-0.8,"4,633.40","4,664.50","4,585.10"
09/17/10,4639,0,78.64,1.72,"4,574.20","4,670.10","4,574.00"
9/10/2010,4560,0,19.05,0.42,"4,547.20","4,598.50","4,532.60"
9/03/2010,4541,0,171.09,3.91,"4,381.20","4,558.70","4,381.20"
08/27/10,4370,0,-60.8,-1.37,"4,433.00","4,439.40","4,313.90"
08/20/10,4431,0,-28.68,-0.64,"4,448.30","4,494.90","4,402.60"
08/13/10,4460,0,-106.46,-2.33,"4,560.00","4,598.70","4,382.10"
8/06/2010,4566,0,72.58,1.62,"4,494.80","4,584.10","4,494.30"
07/30/10,4493,0,35.09,0.79,"4,466.70","4,531.60","4,466.70"
07/23/10,4458,0,35.65,0.81,"4,404.30","4,472.30","4,345.20"
07/16/10,4423,0,26.43,0.6,"4,395.70","4,465.60","4,380.30"
7/09/2010,4396,0,157.59,3.72,"4,240.10","4,397.50","4,182.30"
7/02/2010,4239,0,-174.28,-3.95,"4,419.70","4,433.40","4,214.70"
06/25/10,4413,0,-138.89,-3.05,"4,568.00","4,622.00","4,409.30"
06/18/10,4552,0,46.44,1.03,"4,505.40","4,572.40","4,490.90"
6/11/2010,4505,0,56.09,1.26,"4,410.40","4,506.70","4,299.80"
6/04/2010,4449,0,-8.13,-0.18,"4,448.10","4,489.10","4,374.20"
05/28/10,4457,0,152.04,3.53,"4,320.40","4,460.80","4,265.30"
05/21/10,4305,0,-305.66,-6.63,"4,531.30","4,531.30","4,175.70"
05/14/10,4611,0,130.4,2.91,"4,497.20","4,652.80","4,497.20"
5/07/2010,4481,0,-326.66,-6.79,"4,782.80","4,804.50","4,427.30"
04/30/10,4807,0,-74.15,-1.52,"4,886.70","4,911.90","4,779.30"
04/23/10,4882,0,-103.14,-2.07,"4,965.10","4,970.20","4,875.80"
04/16/10,4985,0,36.57,0.74,"4,957.50","5,025.10","4,944.50"
4/09/2010,4948,0,40.36,0.82,"4,924.70","4,971.30","4,924.70"
4/01/2010,4908,0,10.84,0.22,"4,902.50","4,928.90","4,875.50"
03/26/10,4897,0,24.66,0.51,"4,858.80","4,911.10","4,826.90"
03/19/10,4872,0,54.11,1.12,"4,820.60","4,875.80","4,781.10"
3/12/2010,4818,0,50.88,1.07,"4,787.50","4,840.10","4,787.50"
3/05/2010,4767,0,129.52,2.79,"4,632.50","4,780.40","4,632.50"
02/26/10,4638,0,2.65,0.06,"4,654.30","4,718.30","4,589.90"
02/19/10,4635,0,72.97,1.6,"4,558.50","4,673.10","4,537.90"
2/12/2010,4562,0,48.03,1.06,"4,520.90","4,593.30","4,464.90"
2/05/2010,4514,0,-55.56,-1.22,"4,569.90","4,656.90","4,488.40"
